UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
Rondônia,Masculino,40,Parda,5,2000,1.75275962
Rondônia,Masculino,44,Parda,12,900,1.789949139
Rondônia,Masculino,51,Parda,1,2000,1.752622471
Rondônia,Masculino,35,Parda,4,900,1.673762837
Rondônia,Masculino,22,Parda,1,788,1.654788996
Rondônia,Masculino,44,Parda,4,900,1.607891899
Rondônia,Masculino,31,Parda,9,1500,1.6867263819999998
Rondônia,Masculino,22,Parda,12,788,1.567346954
Rondônia,Masculino,61,Branca,16,10000,1.6184314340000001
Rondônia,Feminino,26,Parda,10,788,1.779590173
Rondônia,Masculino,56,Parda,12,2800,1.856666759
Rondônia,Masculino,53,Parda,9,788,1.6435597569999998
Rondônia,Masculino,37,Parda,1,788,1.754062252
Rondônia,Masculino,24,Branca,11,2000,1.701151149
Rondônia,Feminino,34,Branca,12,789,1.778533399
Rondônia,Masculino,25,Parda,14,1500,1.686974776
Rondônia,Feminino,40,Branca,14,2800,1.7230822630000002
Rondônia,Masculino,63,Parda,9,3000,1.664390525
Rondônia,Masculino,36,Parda,12,1200,1.778775969
Rondônia,Feminino,32,Parda,13,2000,1.604770597
Rondônia,Masculino,50,Branca,9,1000,1.7484512330000002
Rondônia,Masculino,47,Parda,7,2500,1.738575623
Rondônia,Feminino,45,Parda,16,1150,1.743459633
Rondônia,Masculino,36,Branca,5,2000,1.711175816
Rondônia,Masculino,46,Branca,9,5000,1.793000554
Rondônia,Masculino,47,Branca,12,3000,1.789784135
Rondônia,Masculino,56,Branca,16,8000,1.709297771
Rondônia,Masculino,46,Parda,6,1200,1.6738780030000002
Rondônia,Masculino,47,Parda,12,2500,1.6894726430000002
Rondônia,Masculino,52,Parda,9,10000,1.7282769009999999
Rondônia,Feminino,23,Parda,7,788,1.711909504
Rondônia,Masculino,38,Preta,12,2400,1.7798368690000002
Rondônia,Masculino,52,Branca,9,3000,1.639235512
Rondônia,Masculino,29,Parda,16,1900,1.802592345
Rondônia,Masculino,40,Parda,16,7500,1.736740461
Rondônia,Masculino,58,Parda,12,3310,1.724049175
Rondônia,Masculino,28,Parda,5,900,1.584638218
Rondônia,Masculino,52,Parda,1,800,1.7329611459999998
Rondônia,Masculino,38,Parda,6,3500,1.6859077
Rondônia,Masculino,22,Parda,12,1000,1.6845741719999998
Rondônia,Masculino,49,Branca,5,8500,1.711913319
Rondônia,Feminino,59,Parda,5,250,1.580498823
Rondônia,Masculino,42,Branca,2,950,1.7274899590000001
Rondônia,Masculino,40,Parda,4,1300,1.8309290040000001
Rondônia,Masculino,20,Parda,9,1500,1.661791496
Rondônia,Feminino,58,Parda,16,2000,1.777485465
Rondônia,Masculino,51,Parda,12,7000,1.65469875
