UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
Rio de Janeiro,Feminino,53,Branca,16,20000,1.502454388
Rio de Janeiro,Feminino,62,Branca,16,15000,1.622877955
Rio de Janeiro,Masculino,42,Parda,12,1200,1.714184224
Rio de Janeiro,Masculino,64,Branca,16,9000,1.580392078
Rio de Janeiro,Masculino,30,Branca,11,1600,1.7024184080000002
Rio de Janeiro,Masculino,46,Parda,3,788,1.612973719
Rio de Janeiro,Masculino,34,Branca,12,3000,1.551603731
Rio de Janeiro,Masculino,36,Branca,12,1200,1.8451255869999998
Rio de Janeiro,Masculino,31,Branca,12,0,1.667762606
Rio de Janeiro,Masculino,42,Parda,9,1200,1.8659012990000001
Rio de Janeiro,Masculino,55,Branca,12,4500,1.5541468
Rio de Janeiro,Masculino,64,Branca,5,788,1.5700949290000001
Rio de Janeiro,Masculino,55,Branca,6,788,1.74710713
Rio de Janeiro,Feminino,56,Branca,12,1000,1.662577295
Rio de Janeiro,Masculino,51,Branca,11,3000,1.625142093
Rio de Janeiro,Masculino,44,Branca,9,788,1.7990558859999999
Rio de Janeiro,Masculino,45,Parda,3,1200,1.859591145
Rio de Janeiro,Masculino,29,Branca,7,788,1.6332323030000002
Rio de Janeiro,Masculino,61,Branca,9,1700,1.62379758
